trueCat;contrast;orientation;responseCat;confRating;RT;congruentResponse
broad;0.018;24.531694097081612;2;1;9.740166187286377;True
narrow;0.05;0.13616512547666593;1;1;3.2588629722595215;True
narrow;0.082;0.12850870693739472;2;1;3.7568490505218506;False
narrow;0.223;3.7293606836438213;2;2;4.106859922409058;False
broad;0.082;4.3881968412140715;2;2;4.002806186676025;True
broad;0.223;20.43989776505321;2;4;1.9508650302886963;True
broad;0.03;6.3656208651351935;1;1;4.316777944564819;False
broad;0.03;5.527628610262079;2;3;1.772195816040039;True
broad;0.135;11.825430041020109;2;4;1.2015199661254883;True
narrow;0.05;1.0899515856924273;1;3;1.413546085357666;True
broad;0.082;-8.446162187848978;2;4;1.385448932647705;True
broad;0.223;1.024758588091915;1;4;1.2461881637573242;False
narrow;0.05;2.5633085415449623;1;2;2.0728321075439453;True
broad;0.223;9.07777301882333;2;3;1.202211856842041;True
narrow;0.018;-1.009759517362776;1;1;1.8541669845581055;True
narrow;0.082;-4.131296621110952;2;4;1.4642219543457031;False
narrow;0.223;-0.5566182650529719;2;1;2.682237148284912;False
narrow;0.223;1.1002436159900482;1;3;2.026899814605713;True
broad;0.03;11.556303626886542;2;3;1.3662109375;True
narrow;0.018;1.0091061662278278;1;1;2.299513816833496;True
narrow;0.03;-0.022853840175488423;1;1;1.0035209655761719;True
narrow;0.135;-0.7390665199738792;2;2;2.4715301990509033;False
narrow;0.082;1.8713672490181743;1;3;1.5368680953979492;True
narrow;0.03;-2.5152582798190024;1;4;1.0235259532928467;True
broad;0.03;-7.691605555191597;2;1;2.3709120750427246;True
narrow;0.135;-1.0832206699692133;2;3;1.6561977863311768;False
broad;0.03;1.8694968362304643;1;1;1.330214023590088;False
narrow;0.05;0.5843066842498341;1;1;0.9215221405029297;True
narrow;0.082;6.823523347527013;2;4;1.1047658920288086;False
broad;0.05;-23.145473932357973;2;4;0.7528700828552246;True
broad;0.223;-1.1148586963984275;2;2;1.3428330421447754;True
narrow;0.223;-4.64639007698579;2;3;1.1735398769378662;False
broad;0.135;8.938204294139595;2;4;1.074596881866455;True
narrow;0.135;-3.759764596632335;2;4;1.108180046081543;False
narrow;0.03;0.10427255421596404;1;1;2.1802120208740234;True
broad;0.05;-1.911586978456757;2;2;1.2815659046173096;True
narrow;0.018;-1.2434474166062892;1;1;1.3306031227111816;True
broad;0.05;-24.653581522968416;2;4;1.0662038326263428;True
broad;0.03;5.508032900566016;1;1;2.635312080383301;False
broad;0.05;-11.41352967147974;2;4;1.0299830436706543;True
broad;0.05;2.0770504036625566;1;1;0.9295220375061035;False
broad;0.135;-14.522460578834913;2;3;4.02490496635437;True
broad;0.223;0.3140592379428985;1;3;1.2202198505401611;False
broad;0.082;19.2380063138064;2;4;0.9995529651641846;True
broad;0.018;1.0411969439163897;1;1;1.155329942703247;False
narrow;0.018;6.3515762517844365;1;1;0.689507007598877;True
narrow;0.018;2.6439430152549717;1;1;0.7782270908355713;True
broad;0.082;14.049679441228257;2;2;2.5275490283966064;True
broad;0.223;-4.905945323731343;2;1;2.2227890491485596;True
narrow;0.018;-0.8526801050041033;1;1;1.1782138347625732;True
