trueCat;contrast;orientation;responseCat;confRating;RT;congruentResponse
narrow;0.05;2.0705312641308824;1;2;3.4899139404296875;True
narrow;0.018;-0.1371817430321114;1;2;2.0185868740081787;True
narrow;0.082;0.22468022768854334;1;2;1.053947925567627;True
narrow;0.03;1.6343790013616697;1;1;0.7599081993103027;True
broad;0.135;-8.558020508473533;2;2;1.6139428615570068;True
broad;0.03;8.401620937923763;1;1;2.0179100036621094;False
broad;0.018;12.05419625342105;1;1;0.8133029937744141;False
broad;0.135;-5.070314342309465;2;2;1.497277021408081;True
broad;0.05;19.194084591766927;2;3;1.8659090995788574;True
narrow;0.135;-2.51673795577386;2;1;3.2992711067199707;False
narrow;0.05;-1.3702744895915806;1;2;1.4190261363983154;True
narrow;0.03;0.8676003024357963;1;1;1.462594985961914;True
broad;0.05;-1.8725901654384471;1;2;0.944720983505249;False
broad;0.135;-10.249541656344507;2;2;1.207589864730835;True
broad;0.018;-1.9055210973791459;1;1;1.1633222103118896;False
narrow;0.03;-2.4612900420516564;1;1;2.0412380695343018;True
narrow;0.03;-1.0018163539240428;1;1;0.6439340114593506;True
broad;0.05;16.152762256356226;2;3;1.3984332084655762;True
narrow;0.135;-4.5320486809997345;1;2;2.194638967514038;True
narrow;0.135;2.5997006394324167;1;3;1.6872282028198242;True
broad;0.223;18.721582895169803;2;3;0.9599230289459229;True
narrow;0.018;2.8167123884485314;2;1;1.0379011631011963;False
broad;0.03;1.7101461144491694;2;2;2.176558017730713;True
broad;0.018;2.0100652009949975;2;1;1.061856985092163;True
broad;0.05;1.2071686598978029;1;2;2.055778980255127;False
broad;0.05;3.9624373983841297;1;2;1.4098949432373047;False
broad;0.018;-19.16352248267294;1;1;0.7579150199890137;False
broad;0.135;-10.315763779775606;2;2;1.1399250030517578;True
broad;0.135;-8.824494190718568;2;2;0.9545369148254395;True
narrow;0.082;-3.377012842727022;1;3;1.4404819011688232;True
broad;0.03;-2.2141123837122927;1;1;1.1872270107269287;False
narrow;0.03;4.260051059554291;1;3;1.0959289073944092;True
broad;0.082;4.835264934182247;1;1;1.440608024597168;False
broad;0.082;11.212271744225339;2;3;1.107262134552002;True
narrow;0.135;0.9570397587582269;1;2;2.5792460441589355;True
narrow;0.223;-3.497916523380744;1;4;1.3363749980926514;True
broad;0.082;14.690943260414501;2;4;1.1270451545715332;True
broad;0.05;12.082125516297946;2;3;0.9985909461975098;True
broad;0.082;-9.572742249823165;2;3;1.1063499450683594;True
broad;0.082;16.812262231989305;2;4;0.778555154800415;True
broad;0.135;1.0944701342401537;2;1;2.807870864868164;True
narrow;0.223;-5.945825022092772;2;2;3.4437808990478516;False
broad;0.135;3.3614628410483656;1;4;1.8065741062164307;False
narrow;0.082;1.2196576371657755;1;4;0.6824541091918945;True
narrow;0.018;4.544145865235064;1;1;0.7151968479156494;True
narrow;0.05;3.6965568438240477;1;2;1.034588098526001;True
narrow;0.03;4.027408742362821;1;1;0.7814369201660156;True
broad;0.223;17.16481533128941;2;3;0.94657301902771;True
narrow;0.03;1.5811832481998698;2;1;0.7291960716247559;False
narrow;0.223;-5.19652830242555;2;2;1.6565890312194824;False
narrow;0.018;5.424676973437383;1;1;0.9865000247955322;True
narrow;0.223;-1.358269715724097;1;3;1.4391801357269287;True
broad;0.223;17.895871054101192;2;3;0.825930118560791;True
broad;0.018;-19.539777987575945;1;1;0.7012271881103516;False
narrow;0.03;1.4186561904325774;2;1;0.7972841262817383;False
narrow;0.082;5.59396615260751;2;2;1.2659478187561035;False
broad;0.018;-9.984204998963307;2;1;1.747169017791748;True
broad;0.05;1.4694524435875091;1;2;1.1058688163757324;False
narrow;0.135;-4.492407274441599;1;3;1.0898890495300293;True
narrow;0.135;-1.4459481177709401;1;4;1.0666170120239258;True
broad;0.05;0.024879455495062035;1;2;3.075714111328125;False
broad;0.05;20.02107024390944;2;4;0.8052959442138672;True
broad;0.223;9.0373529555503;2;3;0.7609970569610596;True
narrow;0.018;4.357434302680202;1;1;0.9912841320037842;True
broad;0.03;-7.627534876542928;1;1;1.1239359378814697;False
narrow;0.082;2.516550119990802;1;3;1.1792550086975098;True
narrow;0.223;2.359624479542827;1;3;0.6566259860992432;True
narrow;0.05;-6.371980080478064;1;3;1.2025749683380127;True
narrow;0.082;-1.7175314380851336;1;4;1.030627965927124;True
broad;0.018;29.25722346272361;2;1;0.7619321346282959;True
narrow;0.223;3.4831289270479204;1;4;0.83188796043396;True
broad;0.05;-15.298246131334004;2;3;2.090614080429077;True
broad;0.135;-5.034633122903603;2;3;1.1792840957641602;True
broad;0.223;-2.9861152888944447;1;2;1.3126258850097656;False
narrow;0.03;2.708626274258795;1;1;0.6485919952392578;True
broad;0.223;12.34559137232613;2;2;0.9944169521331787;True
narrow;0.018;1.840087824521111;1;1;0.6792409420013428;True
broad;0.03;5.262500205594163;2;1;0.9926049709320068;True
broad;0.05;-15.060102212939874;2;3;1.98927903175354;True
broad;0.05;-8.24343068600763;1;2;1.1859819889068604;False
narrow;0.135;3.8657178167108266;1;4;0.8625609874725342;True
broad;0.05;2.92695002274108;1;3;0.6566140651702881;False
broad;0.03;13.729508828521618;1;1;0.6345570087432861;False
broad;0.082;0.3469633171273119;1;4;0.6292870044708252;False
broad;0.082;3.365614634202022;1;4;0.48067307472229004;False
broad;0.135;-0.8233909245747801;1;4;0.72198486328125;False
narrow;0.082;5.572312505832436;1;4;0.5532798767089844;True
narrow;0.018;-2.1229619693247024;2;1;0.8149731159210205;False
broad;0.082;0.6652556049321317;1;4;0.8583488464355469;False
narrow;0.018;0.6618353405915204;1;4;0.6126320362091064;True
broad;0.018;-5.315637960301033;1;4;0.6325979232788086;False
narrow;0.223;-1.1477693378403115;1;4;0.6830401420593262;True
narrow;0.05;-1.760645848806468;1;4;0.5639781951904297;True
broad;0.223;9.605092628754967;2;2;1.2579140663146973;True
broad;0.135;-0.18647184527370364;1;4;1.0439391136169434;False
narrow;0.018;4.045831114170465;1;1;0.6786320209503174;True
narrow;0.082;-1.2902400645733128;1;4;0.6479799747467041;True
broad;0.223;-3.6911701387511835;1;4;0.5546669960021973;False
narrow;0.223;2.299119591717494;1;4;0.6166110038757324;True
narrow;0.03;-3.400081795071949;2;1;0.5799791812896729;False
narrow;0.05;4.074176860966203;1;2;2.705258846282959;True
narrow;0.05;-5.300114549661351;1;2;0.8252170085906982;True
narrow;0.018;1.7578686280274147;2;1;0.6045899391174316;False
narrow;0.03;0.4183809702897354;2;1;0.4966130256652832;False
narrow;0.018;7.101630260477754;2;1;0.32930922508239746;False
narrow;0.223;-4.238262727018333;1;2;1.0085999965667725;True
broad;0.03;-1.357272766851348;2;2;0.5806260108947754;True
narrow;0.018;-3.2664197448777843;2;1;0.7379469871520996;False
narrow;0.135;5.742736188131402;1;2;0.7366049289703369;True
broad;0.223;-0.528777007458375;1;2;0.5990908145904541;False
narrow;0.05;-2.9349414720014773;1;2;0.9952619075775146;True
broad;0.018;-0.05825961294228932;2;1;0.6239109039306641;True
broad;0.03;5.840199723143811;2;1;0.6352901458740234;True
narrow;0.082;0.2970884017476442;1;2;0.9818549156188965;True
narrow;0.05;0.7016226757016688;1;3;0.9546520709991455;True
narrow;0.018;2.2917364013288593;1;1;0.5846540927886963;True
narrow;0.223;2.274016473258522;1;3;2.7492270469665527;True
narrow;0.082;2.312931875490065;1;3;0.8353190422058105;True
broad;0.05;-3.0812809777088335;1;3;0.5259168148040771;False
narrow;0.082;2.2256028579957876;1;3;0.5492711067199707;True
broad;0.018;10.213732452580045;1;1;0.6272590160369873;False
narrow;0.05;2.2248536639106833;1;3;0.6866109371185303;True
broad;0.03;-16.389633719055414;2;2;1.007554054260254;True
broad;0.03;13.351203695745557;1;1;1.1472740173339844;False
narrow;0.223;-0.45150939637943555;1;4;0.9299440383911133;True
narrow;0.135;-3.911839939888078;1;2;2.3930320739746094;True
broad;0.03;1.6139634271304022;2;1;1.3899121284484863;True
narrow;0.135;3.626189175609034;1;2;0.9866769313812256;True
broad;0.223;7.513050788503103;2;2;1.399055004119873;True
narrow;0.03;1.6661307399509537;2;1;0.8110630512237549;False
narrow;0.03;6.028288288117601;2;1;0.5673129558563232;False
broad;0.03;11.260032205789303;2;1;0.5166020393371582;True
narrow;0.135;3.0972171800043222;1;2;1.011970043182373;True
broad;0.082;3.715475342904242;1;2;0.7279539108276367;False
narrow;0.223;1.6310023184059794;1;2;0.951308012008667;True
broad;0.082;19.532660560486853;2;4;1.0133178234100342;True
broad;0.135;-15.672022699152244;2;4;0.8811638355255127;True
narrow;0.05;1.714064211479927;1;2;1.1786670684814453;True
broad;0.223;-3.832988750545215;2;3;0.9919419288635254;True
broad;0.135;-25.057695990765403;2;4;0.9969110488891602;True
narrow;0.018;-0.7583704078881808;2;1;0.953239917755127;False
narrow;0.05;3.050495856240283;1;2;0.9832329750061035;True
broad;0.05;-0.4859689102779485;1;3;1.8439610004425049;False
broad;0.223;-9.240486270208237;2;3;1.2224161624908447;True
narrow;0.018;0.8848657323689735;2;1;0.6098959445953369;False
broad;0.223;20.7104629536063;2;4;0.877953052520752;True
narrow;0.223;-0.18995932270883353;1;4;0.8232290744781494;True
broad;0.135;4.955498232330133;2;2;0.9866540431976318;True
broad;0.135;25.143365696747935;2;4;0.9113049507141113;True
narrow;0.135;-6.247977713780146;2;3;1.7033259868621826;False
narrow;0.223;-5.308975539800166;2;3;1.119046926498413;False
broad;0.223;23.212096869992052;2;4;0.6626429557800293;True
broad;0.135;20.170594124947915;2;4;0.600593090057373;True
narrow;0.135;0.0810096637934879;1;2;0.9646520614624023;True
broad;0.03;-15.157558452393731;2;3;1.4185988903045654;True
narrow;0.05;0.4925171745095058;1;2;1.1577308177947998;True
narrow;0.018;-1.7956671551742267;2;1;0.9959838390350342;False
narrow;0.135;3.097218210566182;2;2;4.440591096878052;False
narrow;0.082;-3.8759687040999027;1;2;1.3152639865875244;True
broad;0.03;16.94199989981619;2;3;1.1546320915222168;True
broad;0.082;5.87984185817669;2;2;1.4486408233642578;True
narrow;0.082;-0.6001388512428807;1;2;0.9226279258728027;True
narrow;0.082;0.6285066127775052;1;3;0.8419849872589111;True
narrow;0.135;0.8295969183486105;1;4;0.5006570816040039;True
broad;0.223;8.280703747886244;1;2;1.5486180782318115;False
narrow;0.03;4.27741184300535;1;1;1.0266671180725098;True
narrow;0.05;-3.879305675004912;1;2;1.229984998703003;True
broad;0.223;-11.575032754547808;2;2;1.4253160953521729;True
