trueCat;contrast;orientation;responseCat;confRating;RT;congruentResponse
narrow;0.135;-5.458676646038037;2;4;1.508739948272705;False
narrow;0.05;-0.5225408193474294;1;4;1.1387641429901123;True
narrow;0.223;-0.6673211723293871;1;3;1.1037321090698242;True
narrow;0.135;2.586950783295893;2;3;1.4458911418914795;False
broad;0.018;4.863178881184286;2;1;1.9029390811920166;True
narrow;0.223;-0.39506998770161705;1;3;1.4845550060272217;True
narrow;0.223;-2.149169762947371;2;3;1.0272328853607178;False
narrow;0.135;-2.0700342653771076;1;3;0.9008278846740723;True
narrow;0.05;1.6026158032339601;1;1;2.0595779418945312;True
narrow;0.223;-4.86302214115147;1;3;0.9147858619689941;True
broad;0.018;5.269452877764937;1;1;1.1853370666503906;False
narrow;0.05;0.2656055849746556;1;2;1.7004780769348145;True
narrow;0.223;0.9838827587930847;2;2;1.1942780017852783;False
broad;0.082;-14.892849096493864;2;4;1.5411920547485352;True
broad;0.05;12.445799346665044;2;4;0.745866060256958;True
broad;0.03;-9.262438183711872;2;2;1.1911778450012207;True
narrow;0.05;-2.135068001394042;1;3;1.1300759315490723;True
narrow;0.223;2.376997893966076;2;3;1.1597650051116943;False
narrow;0.135;-2.904725740924097;1;2;1.156059980392456;True
narrow;0.082;-0.11755821808427422;2;3;1.01609206199646;False
narrow;0.082;-1.5931248322712808;1;3;1.450089931488037;True
broad;0.135;0.863416992168488;1;3;0.8740999698638916;False
broad;0.135;11.974328068099208;2;4;0.7700321674346924;True
narrow;0.223;0.1001723909942329;1;4;0.7258658409118652;True
narrow;0.018;0.4164083645313048;1;1;0.9876129627227783;True
broad;0.223;-18.097301572314834;2;4;0.7349841594696045;True
narrow;0.03;2.0739594276296023;1;1;1.3322489261627197;True
broad;0.03;-3.101488384660838;2;1;0.7938070297241211;True
narrow;0.03;2.298540282134647;1;3;1.0610809326171875;True
broad;0.082;17.749703572427812;2;4;0.8854959011077881;True
broad;0.082;-15.084398167626613;2;4;0.8524258136749268;True
narrow;0.018;-0.5956619296544887;2;1;0.8210649490356445;False
narrow;0.03;0.4981126923550139;2;1;0.7990779876708984;False
broad;0.03;-0.8134088018198455;1;1;1.2263801097869873;False
broad;0.082;-25.57390941583781;2;4;0.6278960704803467;True
narrow;0.05;2.7582881357065347;1;3;0.8859670162200928;True
narrow;0.082;-2.9129644934571353;1;3;0.74104905128479;True
narrow;0.082;5.285151559057776;2;3;1.202558994293213;False
broad;0.018;-1.8107700897188415;1;1;0.6527199745178223;False
broad;0.082;3.190915759828945;1;1;1.7334539890289307;False
narrow;0.018;-0.6923393735603001;1;1;1.1059691905975342;True
broad;0.135;15.914075711473632;2;4;0.7842879295349121;True
broad;0.03;25.67722257896996;2;4;0.5715541839599609;True
narrow;0.03;-7.671231075601675;1;1;0.8555459976196289;True
broad;0.018;-6.97980166344852;1;1;0.728126049041748;False
broad;0.135;-1.7779314797625774;2;3;0.9659340381622314;True
narrow;0.135;-1.2936361666213023;2;2;2.1539971828460693;False
narrow;0.135;-0.257873969156001;1;3;0.7974591255187988;True
broad;0.018;-3.8806761727392325;1;1;0.6566441059112549;False
narrow;0.03;-1.180379430132331;1;1;0.5694291591644287;True
narrow;0.03;3.5020686175903077;1;1;0.5732669830322266;True
narrow;0.018;1.8610080753368794;1;1;0.5296800136566162;True
narrow;0.082;3.587083659088765;2;2;1.0797560214996338;False
broad;0.223;8.414677862838726;2;4;0.5114960670471191;True
narrow;0.223;0.6830843215817357;1;1;0.6783111095428467;True
broad;0.05;-9.968905025887592;2;3;0.8543698787689209;True
narrow;0.018;-0.6108487584746586;1;1;0.7506580352783203;True
narrow;0.05;3.2840941558185253;1;1;0.9475371837615967;True
narrow;0.135;7.3126754748993985;2;3;0.6726369857788086;False
narrow;0.082;0.9026769320582093;1;1;0.6163880825042725;True
narrow;0.082;-1.0007683478412288;1;3;1.0107431411743164;True
narrow;0.223;1.573409728852234;2;3;1.0291831493377686;False
broad;0.05;0.7930538087278749;1;3;0.6629021167755127;False
broad;0.082;-10.63889511021979;2;3;1.3916168212890625;True
broad;0.05;8.590809283751888;2;4;0.6663849353790283;True
narrow;0.135;0.5986024459288006;1;3;0.7304360866546631;True
broad;0.223;-21.87893202522367;2;4;0.632127046585083;True
broad;0.03;-3.050473034906494;1;2;0.6815369129180908;False
narrow;0.018;0.24428212164322755;1;1;0.8338100910186768;True
broad;0.082;-6.312354684004173;1;3;0.8430521488189697;False
broad;0.018;6.9333269417807255;1;1;1.3722138404846191;False
narrow;0.135;-6.036607031446415;2;4;0.7994468212127686;False
narrow;0.223;7.3106934882444765;2;3;1.3302631378173828;False
narrow;0.082;-1.9985190519846032;2;4;1.1997311115264893;False
narrow;0.018;1.2913669539048915;1;1;0.6739790439605713;True
broad;0.223;-15.739047068438595;2;4;0.5780060291290283;True
broad;0.082;-5.561885526593062;2;4;0.6381361484527588;True
broad;0.03;-0.8461708221401676;1;1;0.6395270824432373;False
broad;0.03;0.4602393974829687;1;1;0.6969149112701416;False
narrow;0.03;-2.5035652210133925;1;1;0.5762641429901123;True
narrow;0.223;-1.51012533805181;2;3;0.9481251239776611;False
broad;0.018;-3.2346374981597847;1;1;0.6652679443359375;False
narrow;0.018;2.3885723130830083;1;1;0.7379801273345947;True
broad;0.018;16.338449205641584;2;1;0.5832810401916504;True
broad;0.223;3.7237167997356844;2;3;0.8668739795684814;True
narrow;0.135;-2.780762365304833;2;3;0.8591499328613281;False
narrow;0.03;-3.4519900858776364;1;1;0.7232499122619629;True
broad;0.082;-7.516467503296761;2;4;0.7614741325378418;True
broad;0.135;-19.603563298961053;2;4;0.8380398750305176;True
narrow;0.03;-1.160029714569779;1;1;0.8311917781829834;True
broad;0.03;-0.29836463914035016;1;1;0.5691280364990234;False
broad;0.05;3.26581601670051;1;1;0.6775078773498535;False
broad;0.05;10.435736438916106;2;3;1.28531813621521;True
broad;0.082;8.674550628068285;2;4;0.628180980682373;True
broad;0.135;-30.85718183386611;2;4;0.5902161598205566;True
narrow;0.03;0.3742466812991402;2;2;0.8096339702606201;False
broad;0.05;-18.887441746383622;2;4;1.2762730121612549;True
narrow;0.03;0.3749187242349974;1;1;0.7398841381072998;True
narrow;0.223;6.228850082004232;2;4;0.7530961036682129;False
broad;0.018;-1.2113235874185757;1;1;0.645766019821167;False
broad;0.05;-2.616544616277524;2;2;1.0552289485931396;True
broad;0.135;10.461536695991855;2;4;0.7915458679199219;True
narrow;0.05;0.5797148552492726;1;1;0.9308087825775146;True
broad;0.05;-10.192312570251373;2;4;0.8966150283813477;True
broad;0.03;-12.303715040263418;2;4;0.9757480621337891;True
narrow;0.223;-5.764683741783404;2;4;0.8196141719818115;False
narrow;0.135;-0.24809662205245014;1;4;0.7177791595458984;True
broad;0.03;-4.423754573836396;2;3;1.267071008682251;True
broad;0.223;1.1477432097910985;1;3;1.1390290260314941;False
broad;0.03;7.531826674100889;1;1;1.559908151626587;False
narrow;0.018;-0.8600941944183991;1;1;0.5559258460998535;True
broad;0.03;0.3830023795281631;2;1;0.520611047744751;True
broad;0.03;1.9267207245828801;2;3;1.1429290771484375;True
broad;0.082;10.529320875044887;2;4;0.643887996673584;True
