trueCat;contrast;orientation;responseCat;confRating;RT;congruentResponse
narrow;0.05;0.7897497637624242;2;1;1.2116808891296387;False
broad;0.223;7.475240116461587;2;4;0.6862540245056152;True
narrow;0.082;-6.862020839442641;2;3;0.6452789306640625;False
broad;0.03;5.418641262749834;1;1;0.9026429653167725;False
broad;0.082;3.4375404462492356;1;3;0.5973601341247559;False
narrow;0.018;4.93988413589114;1;1;0.8328640460968018;True
narrow;0.03;2.292748501585984;1;1;0.7380659580230713;True
narrow;0.135;0.5138551150512627;1;4;0.7671029567718506;True
narrow;0.223;-1.5225255945941176;1;3;0.8672709465026855;True
broad;0.223;4.855734229803167;2;3;0.7311699390411377;True
broad;0.223;3.810410312440988;1;3;0.7851219177246094;False
broad;0.082;0.6218947578839586;1;4;0.7644050121307373;False
narrow;0.223;5.894550180476012;2;3;0.8010690212249756;False
broad;0.018;10.354037535926265;1;1;0.8436930179595947;False
narrow;0.223;-1.2983301440916066;1;3;0.8608720302581787;True
narrow;0.03;1.565491565454039;1;4;0.9010970592498779;True
broad;0.082;-6.921504254478341;2;3;0.7876639366149902;True
broad;0.018;5.459157921912362;1;1;0.8310589790344238;False
narrow;0.082;-0.7226707025788404;1;3;0.7851130962371826;True
narrow;0.05;1.1765993605350145;1;4;0.7163429260253906;True
narrow;0.018;2.744999854058149;1;1;0.6744158267974854;True
narrow;0.03;-3.0862205580633355;1;3;0.7223529815673828;True
narrow;0.03;2.5753840918316704;1;1;0.6643660068511963;True
narrow;0.03;0.15932507286489084;1;1;0.6170799732208252;True
broad;0.018;-8.713738135212473;1;1;0.6591410636901855;False
broad;0.03;3.9417638152318464;1;3;1.0438809394836426;False
narrow;0.05;2.8468658337695185;1;3;0.9729318618774414;True
narrow;0.018;4.683566259493431;1;2;1.2807259559631348;True
narrow;0.135;0.6720103779607832;1;4;0.8562378883361816;True
broad;0.018;-14.316843943863104;1;1;0.8164858818054199;False
broad;0.018;3.0506201689511556;1;1;0.7386820316314697;False
broad;0.03;-2.400736710787621;1;3;1.2077620029449463;False
narrow;0.082;-0.5727852394575245;1;4;0.7382190227508545;True
narrow;0.223;-3.2094587845645024;2;2;0.7835609912872314;False
broad;0.082;-35.33471152146139;2;4;0.7705421447753906;True
broad;0.135;1.3007586247575078;1;1;0.9107229709625244;False
narrow;0.082;-0.5376429036010588;1;3;0.6849851608276367;True
broad;0.223;-11.972610563782162;2;3;0.7566168308258057;True
narrow;0.05;2.548222355300423;1;3;0.7369520664215088;True
narrow;0.03;3.445736410044465;1;3;1.0462729930877686;True
narrow;0.05;0.26381542481689524;1;4;0.535632848739624;True
broad;0.05;-3.1648143691119257;1;2;0.8531599044799805;False
broad;0.082;3.894967135822722;2;2;1.0294060707092285;True
broad;0.082;-22.657686639869873;2;4;0.8154311180114746;True
narrow;0.03;-1.0160154473882428;1;3;0.6017467975616455;True
broad;0.05;-16.92251972656109;2;4;0.7327561378479004;True
broad;0.03;-7.466773064206584;1;3;0.8260869979858398;False
narrow;0.135;2.5505042249966556;1;4;0.6840999126434326;True
narrow;0.223;-7.213193429328489;2;3;1.0833408832550049;False
broad;0.05;16.91207808372948;2;4;0.6263439655303955;True
broad;0.05;2.9577949311019376;1;3;0.9084420204162598;False
narrow;0.223;3.3075703837669863;2;2;0.9067349433898926;False
narrow;0.018;3.06121425395356;1;1;0.7127048969268799;True
narrow;0.018;-8.097803820988478;1;1;0.719419002532959;True
broad;0.135;12.386778521548134;2;3;0.7253339290618896;True
narrow;0.135;-4.09450937489943;2;2;1.0914201736450195;False
narrow;0.018;0.4591618318009658;1;2;1.0664710998535156;True
narrow;0.223;5.846524345378519;2;3;1.0421478748321533;False
broad;0.082;0.0452306661044735;1;3;0.7152161598205566;False
broad;0.03;2.8192188961993585;1;1;0.8418822288513184;False
broad;0.03;-23.39020234324209;2;4;0.7950818538665771;True
broad;0.018;-24.0265704076727;1;1;0.6382689476013184;False
narrow;0.082;-3.6312712639809175;2;2;1.2956690788269043;False
narrow;0.05;-2.6052628915738336;1;2;1.3025550842285156;True
broad;0.135;-3.9511360589430193;2;2;1.2924399375915527;True
broad;0.03;17.38565795687276;2;4;0.7955198287963867;True
narrow;0.135;3.690034360263808;1;3;0.9105749130249023;True
narrow;0.05;2.4398658988309414;1;3;0.9490270614624023;True
narrow;0.018;5.025723120754917;1;1;0.6098301410675049;True
narrow;0.082;0.8645548554552391;1;4;0.8125479221343994;True
