trueCat;contrast;orientation;responseCat;confRating;RT;congruentResponse
broad;0.135;1.9581980689590694;1;3;1.9975848197937012;False
broad;0.223;4.179588635571228;1;3;0.9541471004486084;False
narrow;0.223;-0.4246094283114822;1;3;1.0406219959259033;True
narrow;0.03;-0.10076781288190736;2;3;9.811037063598633;False
narrow;0.05;-1.932955867628559;1;3;2.5269930362701416;True
narrow;0.135;1.7405947465491285;1;1;0.8463470935821533;True
broad;0.135;1.331089288105355;1;1;0.6969399452209473;False
broad;0.03;-14.130895587981023;2;1;2.6416780948638916;True
narrow;0.03;-5.819714383717412;1;1;1.1723461151123047;True
broad;0.082;1.3713707657567924;1;1;1.697638988494873;False
narrow;0.018;-2.921365848205192;2;1;3.154359817504883;False
narrow;0.223;2.3316991286141606;1;3;1.3683531284332275;True
broad;0.018;-7.445140010829191;1;1;1.0376920700073242;False
narrow;0.223;0.6193068307007917;1;1;0.688331127166748;True
narrow;0.018;-4.973146764630908;2;1;0.8809428215026855;False
broad;0.05;-22.118473715250573;2;4;0.9622418880462646;True
broad;0.082;15.360536328904363;2;4;0.9763519763946533;True
broad;0.05;8.74262619662847;2;3;0.853611946105957;True
narrow;0.135;2.1780581733439917;1;1;1.199681043624878;True
narrow;0.223;0.038599612955274774;1;3;0.955604076385498;True
narrow;0.05;1.3273635898737572;1;2;0.8174309730529785;True
narrow;0.223;-4.330028686294495;2;1;1.4610190391540527;False
narrow;0.03;1.3204097164717514;1;2;1.1509690284729004;True
narrow;0.082;-1.2288394392437358;1;2;1.1329751014709473;True
broad;0.03;12.881140977573867;1;2;0.9714360237121582;False
broad;0.03;2.7575985573757418;1;1;2.1609768867492676;False
narrow;0.082;-1.001329722973795;1;2;1.5749619007110596;True
broad;0.03;8.812635659508024;1;1;1.628377914428711;False
narrow;0.082;-1.9318244613993965;1;1;1.3196351528167725;True
narrow;0.082;1.7277178299678277;1;1;1.9347450733184814;True
narrow;0.018;-2.6315155535000807;2;1;1.7816710472106934;False
narrow;0.082;-3.9967153307269094;1;1;1.442307949066162;True
narrow;0.135;-3.699465108032073;2;1;1.3649959564208984;False
narrow;0.082;2.2819360048777977;1;1;1.6343669891357422;True
narrow;0.03;-1.7006347526717285;1;2;1.0127601623535156;True
narrow;0.03;-0.3393377834448355;1;1;1.4089970588684082;True
narrow;0.135;4.456878000930473;2;1;1.7810108661651611;False
narrow;0.05;-0.37693008740354794;1;1;1.4503190517425537;True
