trueCat;contrast;orientation;responseCat;confRating;RT;congruentResponse
narrow;0.03;-2.3177665179037157;1;3;5.562572956085205;True
broad;0.223;6.833978376127289;1;3;7.856568813323975;False
narrow;0.082;-1.8488918007050286;1;4;3.2665820121765137;True
narrow;0.05;2.4031067414136515;1;2;1.2839000225067139;True
broad;0.018;16.768599421948963;2;1;2.828580141067505;True
broad;0.223;14.116395695071137;2;4;1.8079180717468262;True
broad;0.03;6.426523208608083;1;1;2.1636910438537598;False
broad;0.135;-3.388084020916735;2;3;2.881861925125122;True
narrow;0.082;1.363348139913573;1;4;1.6345281600952148;True
broad;0.223;-10.180636917691588;2;4;1.7972321510314941;True
narrow;0.03;3.2118446703830124;2;1;3.2019131183624268;False
broad;0.135;-6.475528767444802;2;3;1.5338551998138428;True
narrow;0.018;3.3123904497426295;1;2;1.916511058807373;True
broad;0.223;-6.675530438479861;2;4;2.563912868499756;True
broad;0.223;-14.544525853321847;2;4;0.7618958950042725;True
broad;0.082;-24.45411167188828;2;4;0.8639049530029297;True
broad;0.223;-2.278804901553547;1;4;1.4099068641662598;False
broad;0.05;-5.646122136892074;1;2;1.7418689727783203;False
broad;0.018;4.301165268275695;1;1;1.6845769882202148;False
broad;0.03;-20.522746052059126;2;3;2.3009889125823975;True
broad;0.223;10.442232242991382;2;4;3.4772160053253174;True
broad;0.135;4.725685039933795;2;4;1.766597032546997;True
narrow;0.135;6.288648847962083;2;1;2.7471489906311035;False
broad;0.03;-12.284788374718932;2;1;1.961918830871582;True
narrow;0.135;1.4349564429141126;1;3;1.3119142055511475;True
broad;0.05;8.705865758726429;2;2;2.424208164215088;True
narrow;0.082;-2.3020512487230294;1;4;1.411247968673706;True
broad;0.082;7.434820674989796;1;3;1.8232579231262207;False
narrow;0.03;-3.017308474340825;1;1;2.0745599269866943;True
narrow;0.082;4.972618482712857;1;2;1.5558969974517822;True
narrow;0.082;0.24022295980696318;1;4;1.369877815246582;True
narrow;0.03;-3.870306823473725;1;1;2.647188186645508;True
broad;0.082;-18.062079322100306;2;4;1.3699290752410889;True
narrow;0.135;-5.886653365089324;1;1;1.5672550201416016;True
narrow;0.05;2.749067095671716;1;4;1.4205729961395264;True
narrow;0.135;-4.2825921970794;1;3;1.311702013015747;True
broad;0.135;1.2413658888142423;1;4;1.5519001483917236;False
broad;0.223;6.682769355454832;2;3;1.365945816040039;True
narrow;0.05;1.880397911555086;1;4;0.7472410202026367;True
narrow;0.223;1.1827956228188108;1;4;0.6499178409576416;True
narrow;0.223;-1.2860693168971467;1;4;0.5879240036010742;True
broad;0.018;-1.3825172973058535;2;1;1.3765921592712402;True
broad;0.018;-29.801382371053;2;1;0.9098300933837891;True
narrow;0.018;-0.3194902505298838;1;1;1.0137250423431396;True
narrow;0.135;4.807066008115738;1;2;1.8576860427856445;True
broad;0.135;-17.228901646540383;2;4;1.075768232345581;True
narrow;0.082;-4.313545241180506;1;2;1.812877893447876;True
broad;0.05;-11.53287876836541;2;2;2.969242811203003;True
narrow;0.05;-3.5700791158965295;1;3;1.3506040573120117;True
broad;0.135;15.132650694784346;2;4;0.8283309936523438;True
narrow;0.018;-1.9808556210437245;2;1;1.0239791870117188;False
narrow;0.018;0.8883689639699182;1;1;0.7312428951263428;True
broad;0.223;0.19927570088229712;2;4;1.0745060443878174;True
narrow;0.018;7.749190673253086;1;1;1.2278480529785156;True
broad;0.082;-17.341643971067903;2;4;1.2630839347839355;True
broad;0.018;20.10669648479366;2;1;0.8252420425415039;True
narrow;0.03;4.19213204110119;2;1;0.684575080871582;False
narrow;0.082;7.944560519970232;1;2;3.277008056640625;True
broad;0.05;-5.594498648878773;1;3;2.0625829696655273;False
narrow;0.082;4.159803100850227;1;3;0.920590877532959;True
narrow;0.223;2.2809133245264985;1;4;0.6959249973297119;True
broad;0.135;2.8576911628053105;1;4;0.7285261154174805;False
narrow;0.018;-1.3167314456035584;2;1;0.9599208831787109;False
narrow;0.135;-2.233741097447618;1;4;0.9096939563751221;True
narrow;0.05;-2.609482606636969;1;4;0.5419189929962158;True
broad;0.082;-3.0213652415676577;1;4;0.9643478393554688;False
narrow;0.03;-0.785943598942598;1;1;1.1304090023040771;True
narrow;0.082;6.4948318328822445;2;2;1.3938231468200684;False
narrow;0.082;-1.9148155489472956;1;3;1.3105368614196777;True
broad;0.05;-11.76464047744093;2;3;1.2785799503326416;True
narrow;0.018;-2.3054086534754417;2;1;0.8079319000244141;False
broad;0.223;3.3903130562751516;1;4;1.3399081230163574;False
narrow;0.03;-0.5386348529880395;1;2;3.36262583732605;True
narrow;0.082;-2.74982080313755;1;3;1.2086148262023926;True
narrow;0.05;1.3907287460417206;1;3;1.7005980014801025;True
broad;0.135;7.185282287317412;2;2;1.4443399906158447;True
broad;0.018;3.570752844209811;2;1;0.9992611408233643;True
narrow;0.05;-0.09075672283166515;1;2;1.635239839553833;True
broad;0.018;-7.568663310036077;1;1;0.9019300937652588;False
narrow;0.223;3.6154676252714566;1;4;1.3577110767364502;True
narrow;0.082;-5.126975638891259;1;2;1.6839449405670166;True
broad;0.05;-2.961126448333071;1;2;1.3485760688781738;False
narrow;0.223;-3.5886210173744626;1;3;1.1466078758239746;True
broad;0.018;5.320678673354369;1;1;7.889257907867432;False
narrow;0.135;0.8533542507312193;1;3;1.58595609664917;True
broad;0.03;-14.991160464424121;2;1;1.34256911277771;True
narrow;0.223;-5.415329198363245;2;2;1.477043867111206;False
narrow;0.223;-2.578850198247258;1;3;1.030656099319458;True
broad;0.05;-5.103018079988411;1;2;1.2019331455230713;False
broad;0.018;-11.142443429104404;1;1;0.92569899559021;False
broad;0.05;5.680597788526319;1;2;1.1252739429473877;False
broad;0.03;-8.971638565726408;2;1;0.8683309555053711;True
broad;0.018;2.2358998203482776;2;1;0.8296830654144287;True
narrow;0.082;-0.662730055877624;1;2;1.3532681465148926;True
broad;0.223;-2.517197623621459;1;3;0.6153030395507812;False
broad;0.223;7.8384566513312235;2;4;1.2105779647827148;True
narrow;0.03;6.885001065874215;2;1;1.246588945388794;False
narrow;0.082;1.4612926735828058;1;3;1.5852539539337158;True
narrow;0.223;-2.9859223537439172;2;2;1.045935869216919;False
broad;0.082;-18.392205509514746;2;4;1.5845367908477783;True
broad;0.05;3.2815639229985973;1;4;1.0292840003967285;False
narrow;0.05;-0.3149934793312611;1;3;1.2966229915618896;True
broad;0.03;-11.078135654815922;2;1;1.089048147201538;True
broad;0.018;-10.677669422252764;2;1;1.1059350967407227;True
narrow;0.018;-2.3439788007142535;1;1;0.5299339294433594;True
broad;0.03;-6.518694435234374;2;1;0.8812751770019531;True
narrow;0.135;-1.4672481126432078;1;3;1.282606840133667;True
narrow;0.135;1.776101010925947;1;3;1.1631338596343994;True
broad;0.03;16.276201180844;2;1;2.3693130016326904;True
broad;0.223;-29.03118138635403;2;4;1.2386009693145752;True
narrow;0.05;3.4962078866137527;1;3;1.529222011566162;True
broad;0.223;0.8449359428485246;1;3;0.8645820617675781;False
narrow;0.03;-3.128339470049987;2;1;2.5705950260162354;False
narrow;0.018;4.053028782847015;2;1;0.6159510612487793;False
narrow;0.03;3.8522061090697672;1;1;0.6512341499328613;True
broad;0.135;16.952870558882438;2;4;0.8849790096282959;True
narrow;0.018;-1.7156633146206168;2;1;0.7977299690246582;False
narrow;0.082;-2.861751765691167;2;3;2.858604907989502;False
broad;0.082;-14.433356568679645;2;4;0.8685660362243652;True
broad;0.018;-2.351012396063895;1;1;3.957960844039917;False
broad;0.135;9.73135547728472;2;4;1.0839459896087646;True
narrow;0.018;0.41170039501587774;2;1;0.716602087020874;False
broad;0.05;-18.58544683577707;2;4;0.9559311866760254;True
narrow;0.03;3.2220734848565233;2;1;1.8179171085357666;False
broad;0.05;9.678862793005438;2;2;1.3572978973388672;True
broad;0.135;11.238405511239137;2;4;0.9952740669250488;True
broad;0.05;1.1405926847025847;1;3;1.3279390335083008;False
broad;0.135;-2.1249395659655876;1;4;0.8553328514099121;False
broad;0.03;3.729853342904376;1;1;0.7533018589019775;False
broad;0.03;-0.9368727537520631;1;1;0.6153011322021484;False
broad;0.05;-7.891063891318115;2;2;1.7223460674285889;True
narrow;0.135;4.8620070516417835;2;2;1.097926139831543;False
broad;0.03;2.4140274668519277;1;1;0.8666870594024658;False
narrow;0.223;-4.859701996235429;2;3;1.4760868549346924;False
narrow;0.05;0.3385655330761043;1;3;1.0372469425201416;True
narrow;0.05;-4.334754062927424;1;3;0.9199600219726562;True
narrow;0.223;-0.2850353634485288;1;4;0.7512869834899902;True
broad;0.223;1.1512666085405514;1;4;0.5010478496551514;False
narrow;0.03;2.2329564062356924;1;1;0.7250308990478516;True
narrow;0.03;-3.3294653565704175;2;1;0.7246019840240479;False
broad;0.135;-3.3901486439800284;2;3;1.6919498443603516;True
broad;0.018;2.081494664143225;1;3;1.6926259994506836;False
narrow;0.05;3.042140065597387;1;3;3.6532790660858154;True
broad;0.082;13.847267552941716;2;4;0.9673027992248535;True
broad;0.03;-10.16753298014658;2;2;1.5646100044250488;True
broad;0.135;-1.3680358052086679;1;3;1.0905699729919434;False
narrow;0.018;-2.947440769988818;2;1;1.3072640895843506;False
narrow;0.223;3.0363506937068108;1;4;0.9952831268310547;True
narrow;0.135;0.02559346618872871;1;4;0.5199460983276367;True
narrow;0.135;-4.595492818589346;1;3;1.4632928371429443;True
broad;0.082;-4.201798329447536;1;3;0.6492600440979004;False
narrow;0.135;-2.6058675260213997;1;4;0.9473111629486084;True
broad;0.03;12.628664348775587;1;1;1.8259568214416504;False
broad;0.018;-13.740909758205028;2;1;0.6132869720458984;True
broad;0.018;-2.6809714043962476;2;1;0.5292901992797852;True
narrow;0.03;-1.8103455027077113;1;1;0.3526310920715332;True
narrow;0.05;0.3283439470380586;1;2;1.7505998611450195;True
broad;0.05;1.702834885139111;1;3;0.9406330585479736;False
narrow;0.03;0.9350051921802304;1;1;0.7070760726928711;True
narrow;0.018;-3.113893761819613;1;1;0.5632531642913818;True
narrow;0.223;1.6905274056837682;1;4;1.0172920227050781;True
narrow;0.018;-3.5585577260912955;1;3;0.7723970413208008;True
narrow;0.05;2.4100379384999178;1;3;1.1859447956085205;True
narrow;0.05;-2.560638450007488;1;3;1.0144100189208984;True
broad;0.082;17.200784148596448;2;4;1.1626031398773193;True
narrow;0.135;5.456362476514107;2;2;1.4245848655700684;False
broad;0.223;9.786496004067024;2;4;0.9479520320892334;True
broad;0.082;0.2560022922177623;2;1;1.2265350818634033;True
narrow;0.082;-5.608894428601125;2;2;0.9500069618225098;False
narrow;0.018;1.9118523426687863;1;1;0.9959759712219238;True
narrow;0.223;1.734463518532389;1;4;0.8806111812591553;True
broad;0.082;15.9875356659767;2;4;0.8499488830566406;True
broad;0.05;37.69072670742433;2;4;0.7397258281707764;True
broad;0.082;2.6332889546414973;2;1;1.4826078414916992;True
broad;0.03;16.851209500514436;2;1;1.667240858078003;True
broad;0.135;-5.980438552812155;2;3;1.1726369857788086;True
broad;0.018;8.584578238640008;1;1;0.9699501991271973;False
narrow;0.018;-0.31479202125410766;1;1;0.43930912017822266;True
broad;0.135;9.003107112635616;2;2;1.3777179718017578;True
broad;0.03;2.4615138618823798;1;2;2.56760311126709;False
broad;0.03;10.142467806009254;1;1;0.8766300678253174;False
broad;0.082;-15.660107937550482;2;4;1.397963047027588;True
narrow;0.03;2.7809386206252618;2;1;0.6826310157775879;False
narrow;0.223;2.2834400895302407;1;4;1.01127290725708;True
narrow;0.018;1.2230424506624125;2;1;0.7433140277862549;False
broad;0.082;-8.906408320905586;2;2;1.6779429912567139;True
broad;0.018;16.597203606841035;2;1;1.2073099613189697;True
narrow;0.223;-3.2951841791069523;1;2;1.5713019371032715;True
narrow;0.223;0.38286491928024446;1;4;0.7118070125579834;True
broad;0.018;-13.729579046674587;1;1;1.0239250659942627;False
narrow;0.082;-2.075506666013167;1;3;1.587332010269165;True
narrow;0.082;-2.49149405146201;1;3;0.7679538726806641;True
narrow;0.05;-0.16651758165088967;1;4;1.261064052581787;True
narrow;0.018;1.835206858485865;1;1;0.8233239650726318;True
narrow;0.03;-4.349506395789373;2;1;0.33861684799194336;False
broad;0.082;4.164026824317437;1;2;1.2572550773620605;False
broad;0.03;-9.183290023441305;2;2;1.6272809505462646;True
narrow;0.135;0.2771689735230257;1;3;1.0706348419189453;True
narrow;0.05;-1.3034729727378709;1;3;1.1599421501159668;True
narrow;0.223;-2.477170334745749;1;4;1.109929084777832;True
broad;0.05;-13.151649455537397;2;4;0.838001012802124;True
broad;0.082;18.381917788761776;2;4;0.5125980377197266;True
broad;0.135;24.34654708642543;2;4;0.38461899757385254;True
narrow;0.223;4.622337307129367;1;2;1.605036973953247;True
broad;0.223;-3.831662793208701;1;3;1.1212670803070068;False
narrow;0.135;-0.533743234243333;1;4;0.6166090965270996;True
narrow;0.135;0.49929628406811544;1;4;0.38796305656433105;True
narrow;0.03;1.7202212940323538;2;1;0.7366011142730713;False
broad;0.135;-6.193188605900075;2;4;0.9592678546905518;True
broad;0.223;-5.964271336097603;2;2;0.9893019199371338;True
narrow;0.135;-2.9680085969835615;1;2;1.081732988357544;True
broad;0.082;12.07374772206712;2;4;0.8906049728393555;True
narrow;0.05;3.01898428963063;2;1;1.0032598972320557;False
broad;0.05;16.2233890262629;2;3;1.135329008102417;True
broad;0.05;-6.302999423331;2;2;0.821958065032959;True
broad;0.03;20.86116157611712;2;3;1.2332780361175537;True
narrow;0.05;1.2198636123808397;2;1;0.9853179454803467;False
broad;0.135;-3.9101635410930147;2;2;1.310007095336914;True
narrow;0.223;0.8961570853610651;1;3;1.2140140533447266;True
narrow;0.082;1.132599708812731;1;2;0.6900110244750977;True
broad;0.223;13.882956776726637;2;4;0.6986889839172363;True
broad;0.03;-3.3353507219152654;2;1;0.8984661102294922;True
narrow;0.135;-1.1258684805720078;1;4;1.5224699974060059;True
broad;0.018;11.229994919896237;1;2;1.1460239887237549;False
narrow;0.03;3.5241442697687044;1;1;0.7126989364624023;True
broad;0.223;-6.804785841546021;2;4;1.0326759815216064;True
broad;0.018;27.998601433111908;2;1;0.6752970218658447;True
broad;0.223;16.56597605453445;2;4;0.7167060375213623;True
narrow;0.018;4.081954528066889;1;1;0.7080178260803223;True
narrow;0.223;-5.625793447636523;2;3;1.8360259532928467;False
broad;0.03;8.418944509353386;2;1;0.8304438591003418;True
narrow;0.018;-4.483998590258331;2;1;0.6340210437774658;False
broad;0.03;7.781804433806271;1;1;0.43666505813598633;False
broad;0.05;13.139518234218048;2;3;0.9993381500244141;True
narrow;0.223;3.0349689641401376;2;2;1.4510979652404785;False
narrow;0.135;1.2515314332372962;1;4;0.7173399925231934;True
narrow;0.018;4.747067876564489;2;1;0.8046910762786865;False
narrow;0.03;4.000157579741147;1;1;0.7526350021362305;True
narrow;0.05;-3.571570468215077;2;2;2.2146990299224854;False
narrow;0.082;-3.7822026962352115;1;2;1.8586909770965576;True
narrow;0.03;2.194205948768108;2;1;0.7646992206573486;False
broad;0.223;11.452834823651038;2;4;1.0026931762695312;True
broad;0.135;-3.1782180898205574;1;3;3.0706589221954346;False
broad;0.05;-18.472519294573576;2;4;0.9439911842346191;True
broad;0.082;17.679977508165287;2;4;0.6464831829071045;True
narrow;0.135;4.952128572999467;1;2;2.0893750190734863;True
narrow;0.082;4.52885852041057;1;3;0.9460039138793945;True
broad;0.135;-26.952905642337928;2;4;0.6566669940948486;True
broad;0.135;12.260569590246487;2;2;1.03444504737854;True
broad;0.223;7.470463032068286;2;2;0.8211030960083008;True
narrow;0.018;0.43447408792543674;2;2;0.5526430606842041;False
broad;0.03;0.654185772183852;1;1;0.9027690887451172;False
narrow;0.082;6.622843496620732;2;1;4.558696031570435;False
narrow;0.082;-2.9483535914518386;1;2;1.772705078125;True
narrow;0.135;1.5913632729887714;1;3;0.8819971084594727;True
narrow;0.223;-2.8899829631067018;1;3;1.226707935333252;True
broad;0.018;6.6494598078870695;1;1;0.7977728843688965;False
broad;0.082;-26.006283758686862;2;4;0.7707240581512451;True
broad;0.082;-10.48750507953911;2;2;0.9519979953765869;True
broad;0.018;3.9729005735268306;2;1;0.7260000705718994;True
narrow;0.05;4.194333877074412;1;1;1.957353115081787;True
narrow;0.018;0.02792710102236222;2;1;0.6593918800354004;False
broad;0.082;-18.32175247910219;2;4;1.6933009624481201;True
narrow;0.018;1.4269736072753383;2;1;0.5899980068206787;False
narrow;0.135;2.063014949196115;1;4;1.3546650409698486;True
broad;0.082;-4.780450525653839;1;3;1.2966690063476562;False
broad;0.05;-12.31830992875301;2;4;1.113339900970459;True
broad;0.03;-2.002253219748956;2;1;0.7933790683746338;True
narrow;0.135;5.0100580375921115;1;1;1.5180199146270752;True
broad;0.082;-6.551640238626003;2;2;1.8771109580993652;True
narrow;0.018;-4.492077963153619;1;1;0.6064658164978027;True
narrow;0.03;0.007442182389038268;2;1;0.46646785736083984;False
broad;0.03;-13.031920677017427;2;1;1.8680269718170166;True
broad;0.082;4.37992606246187;1;2;1.405285120010376;False
broad;0.223;-2.449156685541288;1;4;0.9613220691680908;False
narrow;0.05;0.8523754066665417;1;3;1.487354040145874;True
narrow;0.05;-2.968216748163175;1;3;0.7680299282073975;True
broad;0.018;14.787313310499997;1;1;0.7092740535736084;False
narrow;0.082;-1.1675376909001132;1;2;0.9013051986694336;True
narrow;0.082;6.380441087645615;2;1;1.1413140296936035;False
broad;0.05;18.300899305938998;2;4;1.3239591121673584;True
broad;0.135;-4.906931524703218;1;2;2.2753779888153076;False
broad;0.082;-18.33218410984102;2;4;0.8206939697265625;True
broad;0.223;-8.734168417585416;2;2;0.9440128803253174;True
broad;0.018;13.873359192301738;1;1;0.7584679126739502;False
narrow;0.05;-0.70344895977389;2;1;2.8286070823669434;False
broad;0.135;-7.934384818257291;1;1;2.9200620651245117;False
broad;0.05;10.349147222839788;2;2;2.183298110961914;True
broad;0.082;-1.5308901782946962;1;4;0.8920769691467285;False
narrow;0.05;5.603997074888604;1;2;1.0686988830566406;True
narrow;0.018;-1.245877342752739;1;1;0.9180901050567627;True
narrow;0.05;0.3370067967223059;1;2;1.7414770126342773;True
broad;0.223;-14.66980118978862;2;3;1.3480420112609863;True
narrow;0.03;-2.599076485622791;1;2;1.4506521224975586;True
broad;0.135;-7.995948311280234;1;2;1.1485300064086914;False
broad;0.03;5.016255526792049;2;1;1.026689052581787;True
narrow;0.223;6.872563293897167;1;1;2.5580639839172363;True
narrow;0.223;2.1443989602228877;1;3;1.5160949230194092;True
narrow;0.223;-4.351818590468821;1;3;0.7793829441070557;True
narrow;0.082;-0.13616240906393628;1;4;0.7366020679473877;True
broad;0.03;17.361452595637797;2;2;2.1814157962799072;True
