trueCat;contrast;orientation;responseCat;confRating;RT;congruentResponse
broad;0.135;23.186123502517432;2;4;1.6306377919972874;True
narrow;0.03;-0.6670718422360569;2;4;2.840947500000766;False
broad;0.018;-14.707430638321842;2;4;3.0254532090038992;True
broad;0.05;-12.122343117562199;2;4;1.8965937079992727;True
narrow;0.223;-1.346414485791323;1;4;0.6253682079986902;True
narrow;0.082;-4.212180876241565;1;2;1.1472317500010831;True
narrow;0.05;-2.0045502286518744;1;3;1.8343642089967034;True
narrow;0.223;5.014335984219031;2;3;1.1530906249972759;False
narrow;0.223;-6.61450378998297;2;3;1.0899989579993417;False
narrow;0.03;-4.08005975303717;1;4;1.554591749998508;True
broad;0.03;-3.7162733812562596;2;4;1.0016895419976208;True
narrow;0.082;-2.644502041316312;1;4;0.7226079159954679;True
broad;0.03;7.266285560050516;1;4;0.5234287910061539;False
broad;0.018;8.888827213401983;1;3;0.930345666994981;False
broad;0.223;-0.8522831091051057;1;4;0.9796679159990163;False
broad;0.135;-11.503222827858908;2;4;1.3146672500006389;True
broad;0.03;11.573199283160035;1;3;1.3381634589968598;False
broad;0.082;-22.79400348976293;2;4;1.017515874998935;True
broad;0.135;-13.45134818453954;2;4;1.3870931670026039;True
narrow;0.03;3.6606004675672255;1;2;1.993031209000037;True
narrow;0.018;-5.8700371719750954;2;1;0.8335819170024479;False
narrow;0.05;-1.3498626952932016;2;2;0.9226255419998779;False
broad;0.082;-6.458040244743891;2;3;1.153720833004627;True
narrow;0.018;-3.2429202427756465;1;3;1.4102248340059305;True
narrow;0.223;-0.8334914647539804;1;4;0.7384953329965356;True
broad;0.03;1.7116932838400898;1;2;0.9865117080044001;False
broad;0.082;6.578124839249625;2;3;1.4916450000018813;True
broad;0.03;-13.11276289836362;2;3;1.2332298330002232;True
broad;0.135;-2.336358255880329;1;4;0.6981838330029859;False
narrow;0.135;0.52002453929351;1;3;0.7623751249993802;True
broad;0.05;9.880649368054055;1;2;1.0442425839937641;False
broad;0.223;6.658805359079016;2;3;1.147065167002438;True
broad;0.05;-0.06162468476295372;1;3;0.737987291002355;False
broad;0.018;5.74971041488707;2;3;1.874185041997407;True
narrow;0.082;2.060657026654729;1;3;0.8666294579961686;True
broad;0.03;5.764039955809098;2;3;0.7632313750000321;True
narrow;0.082;-0.5165389633482711;1;4;0.8754776249988936;True
narrow;0.05;-2.3290158944150345;1;3;0.45037999999476597;True
broad;0.018;-2.5305662722711277;1;4;0.6674371249973774;False
broad;0.135;-17.223838438179317;1;3;0.3462729580060113;False
narrow;0.03;-6.625675462090053;1;3;0.6756888329982758;True
broad;0.135;8.12462393720434;2;4;0.9706159170018509;True
narrow;0.223;1.1930859874445423;1;3;0.9396792499974254;True
broad;0.03;21.552974169012973;2;3;1.0022582919991692;True
narrow;0.135;-2.5455611688868456;1;3;0.8758452920010313;True
narrow;0.135;-7.647175710249858;2;3;1.0584972919969005;False
broad;0.03;-5.444438207095245;1;3;0.6663922500010813;False
narrow;0.05;1.3156973285853717;1;4;0.5782683750003343;True
narrow;0.03;0.7277653787690155;2;2;1.3235072909956216;False
narrow;0.223;1.6526123181919825;2;2;0.9870722089981427;False
narrow;0.135;-6.0089108112322025;2;3;0.8271245829964755;False
