trueCat;contrast;orientation;responseCat;confRating;RT;congruentResponse
narrow;0.223;2.812014246153182;1;2;0.895343542098999;True
broad;0.082;-15.953484718701592;2;3;0.5519251823425293;True
broad;0.135;-0.1893083925745303;1;2;0.4697608947753906;False
broad;0.082;-18.604415647826645;2;3;0.40685510635375977;True
narrow;0.03;2.9445853115382117;1;1;0.43460726737976074;True
broad;0.223;9.417246474492087;2;2;0.46904945373535156;True
narrow;0.018;0.46329532454662714;1;2;0.5742154121398926;True
broad;0.018;-19.077827158640087;1;1;0.6673498153686523;False
narrow;0.135;-2.545004766471189;1;2;0.7245619297027588;True
broad;0.03;-28.774685218126322;2;4;0.6357502937316895;True
narrow;0.135;0.8085512840040485;1;2;0.57425856590271;True
narrow;0.05;2.2471799638329504;2;2;0.6274058818817139;False
broad;0.018;-18.211056749526055;1;1;0.6305696964263916;False
broad;0.223;-2.838246446910557;2;1;0.5457520484924316;True
broad;0.05;-2.223029168752997;1;2;0.7122764587402344;False
broad;0.082;-1.176733842431636;1;2;0.688075065612793;False
broad;0.018;19.902489249561256;2;3;0.7766158580780029;True
broad;0.05;5.656130804952701;2;2;0.7578542232513428;True
narrow;0.05;0.812474732214578;2;1;0.7557356357574463;False
narrow;0.223;-2.635989158898664;2;1;0.7295968532562256;False
narrow;0.018;-0.840765350576803;1;1;0.7528235912322998;True
broad;0.135;17.11702062043206;2;4;0.774674654006958;True
narrow;0.05;1.3485975331890814;2;2;0.6279091835021973;False
broad;0.135;-7.798461219432538;2;3;0.6390812397003174;True
broad;0.03;4.418935588562523;1;1;0.6655821800231934;False
narrow;0.082;3.6829883913591774;2;3;0.6107804775238037;False
broad;0.223;1.864679861454678;2;3;0.6545882225036621;True
narrow;0.223;-2.5302806609565067;2;3;0.6964771747589111;False
broad;0.082;5.171433193621373;2;3;0.9689846038818359;True
narrow;0.223;2.5906146653902384;2;2;0.622272253036499;False
narrow;0.03;0.8573968621647675;1;1;0.5694522857666016;True
narrow;0.135;-1.0650530972082937;1;3;0.7185852527618408;True
broad;0.018;14.518894121411515;1;1;0.7418217658996582;False
broad;0.05;-22.438429148983587;2;3;0.6843547821044922;True
narrow;0.018;-1.285769008056982;1;1;0.6208751201629639;True
narrow;0.018;-1.50445984770124;1;1;0.5920426845550537;True
broad;0.082;-12.211739411153744;2;3;0.54052734375;True
broad;0.018;10.66944562463453;1;1;0.5950260162353516;False
